Capacitor Size,Resistance,Logger A,Logger C,Logger B,Logger Tau,Theoretical A,Theoretical C,Theoretical Tau,Percent Error
4200,99.7,4.996,1.824,-0.009,0.548245614,5.002,2.388116731,0.41874,30.92745237
26000,99.7,5.6917,0.3281,-0.038,3.048315806,5.723,0.3857727027,2.5922,17.5957027
63000,99.7,5.671,0.1098,0.014,9.107468124,5.757,0.1592077821,6.2811,44.99798003
100000,99.7,5.779,0.0636,0.060,15.72327044,5.869,0.1003009027,9.97,57.70582187
230000,99.7,5.656,0.0393,0.118,25.43234995,5.828,0.04360908813,22.931,10.90815904
650000,99.7,5.512,0.0129,-0.157,77.82101167,5.467,0.01543090811,64.805,20.08488801
4200,10,5.876,17.41,0.0124,0.05743825388,5.855,23.80952381,0.042,36.75774733
26000,10,6.001,3.245,0.03132,0.3081664099,5.851,3.846153846,0.26,18.52554225
63000,10,5.694,1.063,0.02703,0.9407337723,5.809,1.587301587,0.63,49.32282101
100000,10,5.581,0.6272,0.03518,1.594387755,5.662,1,1,59.43877551
230000,10,5.561,0.3815,0.0429,2.621231979,5.663,0.4347826087,2.3,13.96660778
650000,10,5.256,0.1374,-0.03691,7.278020378,5.246,0.1538461538,6.5,11.96954428
4200,50,5.435,3.69,0.02065,0.27100271,5.479,4.761904762,0.21,29.04890954
26000,50,5.735,0.6711,0.03423,1.490090896,5.852,0.7692307692,1.3,14.62237658
63000,50,5.641,0.2238,0.0623,4.468275246,5.758,0.3174603175,3.15,41.8500078
100000,50,5.729,0.1314,0.08483,7.610350076,5.842,0.2,5,52.20700152
230000,50,5.691,0.07784,0.01109,12.84686536,5.772,0.08695652174,11.5,11.71187274
650000,50,5.45,0.02734,0.2708,36.57644477,5.763,0.03076923077,32.5,12.54290698